,a,b,c,d
0,1,2,2,0
1,3,3,1,3
2,3,1,2,1
3,2,0,2,3
4,2,4,3,4
5,2,1,0,3
6,4,0,0,4
7,1,3,1,4
8,0,1,4,4
9,0,4,1,1
10,1,1,4,0
11,4,4,1,0
12,1,4,3,3
13,4,2,4,1
14,2,2,4,2
15,2,3,1,2
16,4,1,2,2
17,0,2,2,4
18,3,2,4,3
19,3,4,0,2
20,4,3,3,0
21,3,0,3,2
22,1,0,0,1
23,0,3,3,1
